Station_Station,Ag District_Ag District,Last Updated_Last Updated,Current_Air Temp,Current_Wind Dir,Current_Wind Speed,Current_Peak Gust,Current_Rel Hum,Current_Dew Point Temp,Current_Est. Wet-bulb Temp,Current_Est. ΔT,Current_Inversion 9/1.5 m,Current_Inversion 3/0.5 m,Current_Bare Soil Temp,Current_Turf Soil Temp,Current_Solar Rad,Current_Sea-level Baro Press,Yest's Total Rain_Yest's Total Rain,Today's Total Rain_Today's Total Rain,Last Hour's Total Rain_Last Hour's Total Rain,Today's Max Air Temp_Today's Max Air Temp,Today's Min Air Temp_Today's Min Air Temp,Today's Peak Gust_Today's Peak Gust,Fetched_At_UTC
Ellendale 4NE,ND-SE,22 Aug 09:40 CDT,65°,NE,5 mph,8 mph,70 %,56°,59°,6°,-1°,-3°,65°,65°,439 W/m²,1023.4 mb,"0.00""","0.00""","0.00""",66° (09:40),52° (06:48),11 mph (08:36),2026-08-22T14:43:57.076250
Emerado 2E,ND-NE,22 Aug 09:40 CDT,65°,N,6 mph,9 mph,71 %,55°,59°,6°,-1°,-2°,66°,66°,412 W/m²,1023.6 mb,"0.00""","0.00""","0.00""",65° (09:38),55° (06:49),10 mph (09:32),2026-08-22T14:43:57.076250
Epping 2SE,ND-NW,22 Aug 09:40 CDT,66°,ESE,8 mph,12 mph,57 %,51°,57°,9°,---,2°,57°,58°,433 W/m²,1025.5 mb,"0.01""","0.00""","0.00""",67° (09:40),46° (06:24),13 mph (09:25),2026-08-22T14:43:57.076250
Eyota 1SE,MN-SE,22 Aug 09:40 CDT,68°,NNW,5 mph,11 mph,79 %,61°,63°,4°,-1°,-2°,68°,68°,537 W/m²,1018.9 mb,"0.00""","0.00""","0.00""",68° (09:36),59° (04:43),14 mph (08:49),2026-08-22T14:43:57.076250
Fairfax 5NE,MN-SC,22 Aug 09:40 CDT,67°,N,6 mph,9 mph,83 %,62°,64°,4°,0°,-2°,67°,69°,479 W/m²,1020.3 mb,"0.00""","0.00""","0.00""",68° (09:40),55° (06:58),11 mph (09:04),2026-08-22T14:43:57.076250
Fairfield 2W,ND-SW,22 Aug 09:40 CDT,66°,E,6 mph,9 mph,56 %,50°,56°,10°,-1°,-1°,66°,65°,351 W/m²,1026.8 mb,"0.00""","0.00""","0.00""",66° (09:40),52° (02:55),11 mph (08:57),2026-08-22T14:43:57.076250
Fargo NW,ND-EC,22 Aug 09:40 CDT,64°,NNW,4 mph,7 mph,80 %,57°,60°,4°,0°,-2°,64°,66°,445 W/m²,1023.1 mb,"0.26""","0.00""","0.00""",64° (09:40),52° (07:04),9 mph (09:28),2026-08-22T14:43:57.076250
Fayette 3W,ND-WC,22 Aug 09:40 CDT,65°,ENE,8 mph,10 mph,59 %,50°,56°,9°,---,-4°,63°,63°,381 W/m²,---,"0.00""","0.00""","0.00""",65° (09:40),49° (04:48),10 mph (09:38),2026-08-22T14:43:57.076250
Fertile 4N,MN-NW,22 Aug 09:40 CDT,64°,NNE,8 mph,13 mph,75 %,56°,59°,5°,-1°,-2°,66°,67°,425 W/m²,1022.8 mb,"0.13""","0.00""","0.00""",64° (09:35),55° (06:46),13 mph (09:39),2026-08-22T14:43:57.076250
Fingal 4W,ND-EC,22 Aug 09:40 CDT,65°,NE,5 mph,8 mph,74 %,57°,60°,5°,---,-1°,66°,65°,486 W/m²,1023.6 mb,"0.01""","0.00""","0.00""",65° (09:40),55° (06:04),11 mph (08:31),2026-08-22T14:43:57.076250
